MITI,NANDU,MIGE,TISHI,JIEMI,MIDI,FAYIN,JIESHI,ZAOJU
哑巴说大象,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,不可言状,bù kě yán zhuàng,言：说；状：描绘。无法用言语形容。,当时我真悲哀到～。（蒋光慈《少年飘泊者》八）
鸭子走路,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,大摇大摆,dà yáo dà bǎi,走路时身子摇摇摆摆。形容自以为了不起的傲慢神态。,次日早晨，～出堂，将回子发落了。（清·吴敬梓《儒林外史》第五回）
未婚男子,3,谜语,根据谜题意思联想,断雁孤鸿即指未婚男子,断雁孤鸿,duàn yàn gū hóng,鸿：鸿雁。离了群的孤独大雁。比喻孤身独处，多指未成婚的男子。,他至今未婚，成了～
鸵鸟遇敌,6,灯谜,根据动物特点联想、合成,可以想到鸵鸟一般是把头埋起来，露出尾巴，解为藏头露尾,藏头露尾,cáng tóu lù wěi,藏起了头，露出了尾。形容说话躲躲闪闪，不把真实情况全部讲出来。,况一挂上人家的假招牌，便有许多面子来拘束你，使你不得不～；寻欢作乐，如何能称心适意！（清·曾朴《孽海花》第三十回）
丢下灶王拜山神,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,舍近求远,shě jìn qiú yuǎn,舍去近处的，追求远处的。形容做事走弯路。,可见咱们天天是～。现有这样诗人在此，却天天去纸上谈兵。（清·曹雪芹《红楼梦》第七十六回）
最大的地球运动,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,沧海桑田,cāng hǎi sāng tián,桑田：农田。大海变成桑田，桑田变成大海。比喻世事变化很大。,化石是～的见证。
炒鱿鱼,5,谜语,根据谜题意思以及相关义联想、合成,也就是解雇，可以解为拔锅卷席,拔锅卷席,bá guō juǎn xí,①比喻带走全部家当。②犹言卷铺盖。比喻被解雇。,他给公司造成了巨大损失，不得不～了。
中转站是重庆,7,谜语·灯谜,根据谜题字词别称以及近义、相关义联想、合成,也就是重庆不是终点也不是始发点，重庆别称渝，解得始终不渝,始终不渝,shǐ zhōng bù yú,渝：改变，违背。自始自终一直不变。指守信用。,区区之心，唯以地方秩序为主，以人民生命财产为重，～，天人共鉴。（蔡东藩、许廑父《民国通俗演义》第二十九回）
项羽给樊哙的礼物,8,谜语·灯谜,根据人物典故联想,说的是彘肩斗酒的故事,彘肩斗酒,zhì jiān dòu jiǔ,形容英雄豪壮之气。,～渡江人，南部莺花每怆神。吴梅《马鞍山麓吊刘龙洲墓》诗
管仲,5,谜语·灯谜,根据人物名字以及人物相关联想,管仲名夷吾，由于其卓越的政治才能，不难联想到谜底为江左夷吾,江左夷吾,jiāng zuǒ yí wú,管夷吾，春秋时期政治家管仲，相齐桓公成霸业。后来诗文中多以之称有辅国救民之才的人。,野人只欲安耕钓，～可见不？宋·陆游《泛舟湖山间有感》
吾儿身体太弱，媳妇哪能怀孕？,3,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,儿子的身体太虚弱，儿媳妇是不会有的，可以解为子虚乌有,子虚乌有,zǐ xū wū yǒu,子虚：并非真实；乌有：哪有。指假设的、不存在的、不真实的事情。,文贵征实，不蕲于振奇，所以愧文士～之习也。（清·沈惟贤《万国演义序》）
大,5,灯谜,根据字的拆分以及结构联想、合成,天字可拆为“大、一”以及“二、人”，二人即对，合起来即大、天一对，可解为天生一对,天生一对,tiān shēng yī duì,指生来就注定为一对。,清·名教中人《好逑传》第15回：“真是～，得此淑女，可谓家门有幸，亦于名教有光矣。”
何日会单于,10,灯谜,根据人物特点以及字词近义、相关义联想、合成,何可通胡，日解为天，单于解为胡人的帝王，即得胡天胡帝,胡天胡帝,hú tiān hú dì,胡：何；帝：指天神。什么是天，什么是帝。原形容服饰容貌像天神一样美丽，后也表示尊敬崇仰。,舆门开处，但见一位华装炫饰，～的女娇娃，姗步下舆。（蔡东藩、许厪父《民国通俗演义》第三十七回）
哪一个是舒淇,6,灯谜,根据字的拆分、结构以及近义联想、合成,舒字可拆为舍、予，予即我，舍我即舒字，于是可解为舍我其谁,舍我其谁,shě wǒ qí shuí,舍：除了。除了我还有哪一个？形容人敢于担当，遇有该做的事，决不退让。,我嫡孙也，欲立太子，～！（明·冯梦龙《东周列国志》第七十九回）
房地产经纪,7,谜语·灯谜,根据人物职业以及字词近义联想、合成,可以想到这个职业是寻求田产以及询问屋舍的，可以解为求田问舍,求田问舍,qiú tián wèn shě,舍：房子。多方购买田地，到处问询屋介。指只知道置产业，谋求个人私利。比喻没有远大的志向。,如今这些贪人，拥着娇妻美妾，～，损人肥己，搬斤播两，何等肚肠。（明·凌濛初《初刻拍案惊奇》卷十八）
最可怕的吻,3,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,豺狼之吻,chái láng zhī wěn,比喻残酷贪婪的官吏。,《三国志·蜀书·诸葛亮传》注：“使百姓困于～，一夫有死，皆亮之罪。”
到阎王爷那里报到,3,谜语·灯谜,根据谜题字词近义联想、合成,解为会见到阎王以及各种小鬼，阎王是神仙，即得见神见鬼,见神见鬼,jiàn shén jiàn guǐ,好象看见了鬼神。比喻多疑。,袭人才去了一夜，你们就～的。清·曹雪芹《红楼梦》第五十一回
初到他乡,3,摘领格,根据谜题字词近义以及相关义联想、合成,他乡即异处，到解为身到，即得身异处，由于摘领格，加上“首”字可解得身首异处,身首异处,shēn shǒu yì chù,首：头；异：不同；处：地方。指被杀头。,我自正位东宫，并无失德，纵有过恶，不过贬谪，也不致～。（明·许仲琳《封神演义》第九回）
流泪,3,谜语·灯谜,根据谜题字词近义联想、合成,眼泪从眼眶流出，可解为夺眶而出,夺眶而出,duó kuàng ér chū,眶：眼眶。眼泪一下子从眼眶中涌出。形容人因极度悲伤或极度欢喜而落泪。,她～，不再控制自己的感情。
百灵鸟,4,灯谜,根据动物特点联想、合成,百灵鸟特点是叫声清脆悦耳，可以解为燕语莺声,燕语莺声,yàn yǔ yīng shēng,莺：黄鹂。燕子的话语，黄鹂的歌声。原形容大好春光。后多形容年轻女子说笑的声音。,山谷中的歌声如～，酽茶淡香，馨人肺腑。
江湖佬卖假药,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,招摇撞骗,zhāo yáo zhuàng piàn,撞骗：寻机骗人。假借名义，进行蒙骗欺诈。,只是奴才们在外头～，闹出事来，我就耽不起。（清·曹雪芹《红楼梦》第一０六回）
鹤立鸡群,2,谜语,根据谜题意思以及近义联想,鹤立鸡群自然是超出群体，非常出众了，即得超群出众,超群出众,chāo qún chū zhòng,指超出众人。,康濯《公社的秧苗》：“可也就这么一下，竟干得～。”
灯草打老牛,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,无关痛痒,wú guān tòng yǎng,痛痒：比喻疾苦或紧要的事。指与自身利害没有关系或无足轻重。,政府当初虽只不理那些招人头痛的教员，后来竟不理到～的官吏。（鲁迅《呐喊·端午节》）
请勿央视品三国,8,脱帽格,根据字的拆分、组合以及人物名字联想、合成,央视品三国的是易中天，易字可拆分为日、勿，请勿即日，可得日中天，由于脱帽格，可解为如日中天,如日中天,rú rì zhōng tiān,好象太阳正在天顶。比喻事物正发展到十分兴盛的阶段。,(1)诗歌发展到了唐代，诗人辈出，流派纷呈，～。(2)我国经济建设～，前程似锦。
往前看,5,灯谜,根据谜题字词近义以及引申义联想、合成,也就是不往旁边看，不邪视，可解为目不邪视,目不邪视,mù bù xié shì,邪：通“斜”。眼睛不偷看旁边。比喻为人行止端方。,鲁迅《彷徨·伤逝》：“她～地骄傲地走了，没有看见。”
媒婆,6,灯谜,根据人物特点以及字词近义联想,可以想到媒婆为了撮合两方，肯定是两边都有说好的，解为两面讨好,两面讨好,liǎng miàn tǎo hǎo,在两派之间摇摆或保持中间立场以讨好双方的人,李六如《六十年的变迁》第八章：“他知道婆婆官赵惠文一向是～的。”
工作都要自己做,5,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,也就是事情要做自己做，即得事必躬亲,事必躬亲,shì bì gōng qīn,躬亲：亲自。不论什么事一定要亲自去做，亲自过问。形容办事认真，毫不懈怠。,于舅太爷却勤勤恳恳，～，于这位外甥的事格外当心。（清·李宝嘉《官场现形记》第五十九回）
最干净的地方,3,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,一尘不染,yī chén bù rǎn,原指佛教徒修行时，排除物欲，保持心地洁净。现泛指丝毫不受坏习惯，坏风气的影响。也用来形容非常清洁、干净。,特别是夏季，绿树红楼，～。（臧克家《老舍永在》）
情侣,1,谜语,根据谜题意思联想,莺俦燕侣有类似意思,莺俦燕侣,yīng chóu yàn lǚ,莺、燕：比喻女子；俦：伴侣。指男子的妻室或情侣。,明·徐复祚《红梨记·诗要》：“岂可为～三春约，忘却你鹏路鹍程万里遥。”
常雕,4,双钩格,根据谜题字词近义联想、合成,常解为一直、不舍弃，雕即锲，由于双钩格，解为锲而不舍,锲而不舍,qiè ér bù shě,锲：镂刻；舍：停止。不断地镂刻。比喻有恒心，有毅力。,夫固谓一人～，则行美于本性矣。（章炳麟《菌说》）
裁判哨,6,谜语·灯谜,根据所描述事物的作用以及近义联想、合成,裁判即分出胜负会鸣哨，也就是不平则鸣,不平则鸣,bù píng zé míng,鸣：发出声音，指有所抒发或表示。指受到委曲和压迫就要发出不满和反抗的呼声。,“～”，看看现时的情况，难怪学生们厉声疾呼——革命、救国。（杨沫《青春之歌》第二部第二十七章）
傀儡,5,灯谜,根据所描述事物特点联想、合成,也就是不能自己控制的人物，可解为身不由己,身不由己,shēn bù yóu jǐ,由：听从。身体不由自己作主。,我到这儿也是～，既然是国家需要，就只好服从分配了。
囤货,7,谜语·灯谜,根据所描述事情的目的以及字词相关义联想、合成,囤货自然是为了等待价格更高的时候再卖出去，可解为待价而沽,待价而沽,dài jià ér gū,沽：卖。等有好价钱才卖。比喻谁给好的待遇就替谁工作。,像中世纪骑士那样站在虹的桥上，高揭着什么怪好听的旗号，而实在只是出头，或竟是～。
最长的夜晚,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,长夜难明,cháng yè nán míng,比喻漫长的黑暗统治。,～赤县天，百年魔怪舞翩跹，人民五亿不团圆。（毛泽东《浣溪沙·和柳亚子先生》词）
武生卸装,4,谜语·灯谜,根据所描述事情的结果联想、合成,也就是盔甲都会卸掉，解为丢盔卸甲,丢盔卸甲,diū kuī xiè jiǎ,形容吃了败仗狼狈逃跑的景象。,张洁《沉重的翅膀》：“准得～地落荒而去。”
五指,4,灯谜,根据所描述事物特点联想、合成,五个手指头特点是三长两短,三长两短,sān cháng liǎng duǎn,指意外的灾祸或事故。特指人的死亡。,要是万一李嫂子有～，真是可惜！（姚雪垠《李自成》第一卷第十七章）
不堪回首,1,脱帽格,根据谜题字词近义联想、合成,解为无法回头看，即无反顾，由于脱帽格，加上义字可得义无反顾,义无反顾,yì wú fǎn gù,义：道义；反顾：向后看。从道义上只有勇往直前，不能犹豫回顾。,朱成功身受大明的厚恩，只有一死图报，～。（华而实《汉衣冠》二）
灭虎队,2,谜语·灯谜,根据所描述事物的作用联想,古代虎患猖獗，既然是灭虎队，自然是为民除害了,为民除害,wèi mín chú hài,替百姓除祸害。,自然以～为主。（清·刘鹗《老残游记》第七回）
来日搬家,4,灯谜,根据谜题字词别意以及近义联想、合成,来日即改天，搬家即换地方住，于是可解为改天换地,改天换地,gǎi tiān huàn dì,彻底改变原来的面貌。指改造社会，改造自然。,王朔《痴人》：“往塌鼻子里注射一管混凝土，起不到～的作用。”
见火不救,2,粉底格,根据谜题字词近义联想、合成,听任其自行燃烧，即听其自燃，由于粉底格，听其自然,听其自然,tīng qí zì rán,听：任凭。听任它自然发展，不去过问。,孩子成长时期，家长不能～，不管不问。
最贪财的人,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,雁过拔毛,yàn guò bá máo,比喻人爱占便宜，见有好处就要乘机捞一把。,市场东西价格如此高，是因为进货时中途被轮番的～了。
乱葬坟上跳舞,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,鬼迷心窍,guǐ mí xīn qiào,鬼怪迷惑住心窍。指对问题认识不清。,我真象从前的人说的“～”了，现在可算把鬼打跑了！（赵树理《表明态度》）
从一算起,1,谜语·灯谜,根据数字联想、合成,接下来是二连着三，即得接二连三,接二连三,jiē èr lián sān,接连不断。,于是～，牵五挂四，将一条街烧得如“火焰山”一般。（清·曹雪芹《红楼梦》第一回）
喜忧参半,3,谜语·灯谜,根据谜题字词近义联想、合成,喜解为不讨厌，忧解为烦忧，即得不厌其烦,不厌其烦,bù yàn qí fán,厌：嫌。不嫌麻烦。,今之史学则异是，必致谨于闾阎日用之细，起居笑貌之琐，～，不嫌其鄙。（清·严复《道学外传》）
屎壳郎传宗接代,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,遗臭万年,yí chòu wàn nián,遗臭：死后留下的恶名。死后恶名一直流传，永远被人唾骂。,卖国投敌的小丑们，没有一个不是～的。
听见猫叫骨子酥,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,胆小如鼠,dǎn xiǎo rú shǔ,胆子小得象老鼠。形容非常胆小。,他们样子往往很凶，其实～。（郭小川《文学工作不能跃进》）
给老爸买套好房子,7,灯谜,根据谜题字词别意、近义以及相关义联想、合成,这么做的目的肯定是养老尊老，给予优越的住处了，可以解为养尊处优,养尊处优,yǎng zūn chǔ yōu,养：指生活。指生活在有人伺候、条件优裕的环境中。,父亲孤身在外，无人侍奉，甥女却在家中～，一经想起，更是坐立不宁。（清·李汝珍《镜花缘》第五十四回）
骚狐狸见不得关二爷,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,邪不压正,xié bù yā zhèng,不正当的、不正派的压不倒正当的、正派的事物。,柳青《创业史》第一部第九章：“～！白占魁的两只三角眼败北了。”
龙虎将,5,谜语·灯谜,根据谜题字词别称以及近义联想、合成,云从龙，风从虎，将可解为人物，于是可得风云人物,风云人物,fēng yún rén wù,指活跃一时，言论行为能影响大局的人物。,因此被马歇尔看中，做了驻华大使，成为马歇尔系统中的～之一。（毛泽东《别了，司徒雷登》）
难得,2,双钩格,根据谜题字词近义联想、合成,难可解为不易，得可以解为得来，即得不易来之，由于双钩格，可解为来之不易,来之不易,lái zhī bù yì,来之：使之来。得到它不容易。表示财物的取得或事物的成功是不容易的。,考上大学，～，可得要继续努力。
古稀者众,1,谜语·灯谜,根据谜题字词近义联想、合成,人生七十古来稀，所以是人长寿的年龄，而众可以解为多、丰，即得人寿年丰,人寿年丰,rén shòu nián fēng,人长寿，年成也好。形容太平兴旺的景象。,好在这些年，年年都有好收成。真真是～，喜事重重。（郭沫若《蔡文姬》第五幕）
电锯开木头,4,谜语·灯谜,根据谜题字词近义以及相关义联想、合成,也就是遇到电锯机器就会立即断开了，解为当机立断,当机立断,dāng jī lì duàn,当机：抓住时机。在紧要时刻立即做出决断。,哥哥，国姓爷就在城下，你应该～。（郭沫若《郑成功》第七章）
张果老,6,掉首格,根据谜题字词别意、近义以及相关义联想、合成,张解为看、见，果老解为果然老了，老解为故，即得见一如故，由于掉首格，解为一见如故,一见如故,yī jiàn rú gù,故：老朋友。初次见面就象老朋友一样合得来。,他们俩～，谈得很投机。
大缸里放针,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,粗中有细,cū zhōng yǒu xì,形容人说话做事表面好象粗鲁、随便，实际上却是审慎、细心。,《三国演义》中的张飞是一个～的大将。
飞行员,4,灯谜,根据人物特点联想,自然是驾驶飞机的人了，也就是有机可乘,有机可乘,yǒu jī kě chéng,有空子可钻。,闻之窃喜其～。（清·蒲松龄《聊斋志异·胭脂》）
从群众中来,6,灯谜,根据谜题字词别意、近义以及相关义联想、合成,可以解为出自公众当中、中心，可得出以公心,出以公心,chū yǐ gōng xīn,指考虑事情以国家和集体的利益为出发点。,凌力《少年天子》第四章：“总要～，权衡利弊啊……”
败兵,2,谜语·灯谜,根据所描述景象以及相关义联想,可以想到打了败仗的士兵肯定是溃不成军了,溃不成军,kuì bù chéng jūn,被打得七零八落，不成队伍。形容惨败。,那些洋鬼子被义和团打得～。
泥屋倒塌,2,谜语·灯谜,根据所描述景象联想、合成,泥造的房子倒塌，可解为土崩，瓦片也裂解开了，即得土崩瓦解,土崩瓦解,tǔ bēng wǎ jiě,瓦解：制瓦时先把陶土制成圆筒形，分解为四，即成瓦，比喻事物的分裂。象土崩塌，瓦破碎一样，不可收拾。比喻彻底垮台。,逊督促诸军四面蹙之，～，死者万数。（清·平步青《霞外捃屑》卷七）
一气贯通,2,谜语·灯谜,根据谜题字词近义联想、合成,气解为怒气，贯通解为无法遏制，即得怒不可遏,怒不可遏,nù bù kě è,遏：止。愤怒地难以抑制。形容十分愤怒。,面对反革命的暴行，革命志士～。
翻新,3,谜语,根据谜题意思以及字词近义联想、合成,就是说把旧的改成新的，可解得推陈出新,推陈出新,tuī chén chū xīn,指对旧的文化进行批判地继承，剔除其糟粕，吸取其精华，创造出新的文化。,研究棋艺，～。（陈毅《题〈围棋名谱精选〉》诗）
孙悟空保唐僧,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,忠心耿耿,zhōng xīn gěng gěng,耿耿：忠诚的样子。形容非常忠诚。,卢永祥见一个～的陈乐山忽然变了样子，还不晓是何缘故，十分诧异。（蔡东藩、许廑父《民国通俗演义》第一五八回）
胸口放灯草,3,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,掉以轻心,diào yǐ qīng xīn,掉：摆动；轻：轻率。对事情采取轻率的漫不经心的态度。,由于这样，好些人就对于文学作品中另一方面的道理—装饰的美～了。（秦牧《两只青蛙》）
全招,2,谜语,根据谜题意思联想,供认不讳有类似意思,供认不讳,gòng rèn bù huì,供认：被告对于某一事实或断言的真实性予以承认；讳：避讳。指对某项指控完全认同,他对此～
赤兔黄骠如风驰，乌骓白驹似电掣,3,谜语·灯谜,根据数字以及字词近义联想、合成,共四匹马，风驰电掣可解为无法追赶，于是可解为驷马难追,驷马难追,sì mǎ nán zhuī,一句话说出了口，就是套上四匹马拉的车也难追上。指话说出口，就不能再收回，一定要算数。,大丈夫一言既出，～，岂有翻悔之理！（元·李寿卿《伍员吹箫》第三折）
最大的打击,1,谜语,根据谜题意思联想,该类型谜题根据答案容易得出,一蹶不振,yī jué bù zhèn,蹶：栽跟头；振：振作。一跌倒就再也爬不起来。比喻遭受一次挫折以后就再也振作不起来。,可惜，到了这二十世纪的中叶，说什么也～了。（梁斌《红旗谱》四十二）
缔,5,灯谜,根据字的拆分以及结构联想、合成,缔字可拆为丝、帝，蹄字可拆分为足、帝，马迹即马蹄印，蛛丝马迹各取一部分即为缔字,蛛丝马迹,zhū sī mǎ jì,从挂下来的蜘蛛丝可以找到蜘蛛的所在，从马蹄的印子可以查出马的去向。比喻事情所留下的隐约可寻的痕迹和线索。,机敏的公安人员根据现场的～，很快找到了作案人的线索。
阎王出丧,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,鬼哭狼嚎,guǐ kū láng háo,形容大声哭叫，声音凄厉。,况且宝玉才好了些，连我们也不敢说话，你反打的人～的！（清·曹雪芹《红楼梦》第五十八回）
用战争消灭战争,1,双钩格,根据谜题字词近义联想、合成,也就是用武制止战争，战即戈，可得为武止戈，由于双钩格，即得止戈为武,止戈为武,zhǐ gē wéi wǔ,意思是武字是止戈两字合成的，所以要能止战，才是真正的武功。后也指不用武力而使对方屈服，才是真正的武功。,清·魏秀仁《花月痕》第47回：“～，穷寇勿追。”
赵匡胤陈桥兵变,10,谜语·灯谜,根据历史事件以及人物相关联想、合成,著名的黄袍加身的历史故事,黄袍加身,huáng páo jiā shēn,五代后周时，赵匡胤在陈桥兵变，部下诸将给他披上黄袍，拥立为天子。后比喻发动政变获得成功。,～御海宇，五代纷争从此休。（清·陈忱《水浒后传》第一回）
春蚕吐丝,7,灯谜,根据谜题意思以及引申义联想、合成,也就是作茧，而且把自己束缚在了里面，可以解为作茧自缚,作茧自缚,zuò jiǎn zì fù,蚕吐丝作茧，把自己裹在里面。比喻做了某件事，结果使自己受困。也比喻自己给自己找麻烦。,我们需要制定必要的规章制度，但不可过于繁琐，弄得～，捆住自己的手脚。
论个儿卖东西,4,谜语·灯谜,根据所描述事情的规则联想,也是不按斤两来卖，可解为不分轻重,不分轻重,bù fēn qīng zhòng,指人办事盲目，不分主次,他一向办事～，眉毛胡子一把抓
屁股上钉掌,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,离题太远,lí tí tài yuǎn,离开主题很远，不着边际,王朔《千万别把我当人》：“咱们把大家请来，主要是想听听大家谈文学，不要～。”
发挥优势，走向未来,2,谜语·灯谜,根据谜题字词近义联想、合成,发挥优势可解为扬长，走向未来可解为而去，即得扬长而去,扬长而去,yáng cháng ér qù,大模大样地径自走了。,说罢，深深一揖，～。（清·吴趼人《二十年目睹之怪现状》第一回）
美曰，妙论,4,灯谜,根据谜题字词别意以及近义联想、合成,美、妙即好，曰、论即言、语，可解得好言好语,好言好语,hǎo yán hǎo yǔ,好：美好，友善。指友善和中听的言语。,我～批评他，挨了一顿骂。(魏巍《老烟筒》)
待到秋来九月八,7,谜语·灯谜,根据人物名字以及字词近义联想、合成,出自黄巢《不第后赋菊》，直解为黄说这是个好日子，说即道，于是可得黄道吉日,黄道吉日,huáng dào jí rì,迷信的人认为可以办事的吉利日子。,次日是～，就着杨老妈为媒，说不舍得放女儿出门，把张幼谦赘了过来。（明·凌濛初《初刻拍案惊奇》卷二十九）
丈母娘遇亲家母,4,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,婆婆妈妈,pó pó mā mā,形容人动作琐细，言语罗唆。也形容人感情脆弱。,上海下层社会中也有不少喜欢议论别人的～。（余秋雨《文化苦旅·上海人》）
箭头,5,灯谜,根据所描述事物特点联想、合成,箭头是一小块铁制成，且能杀人，可得寸铁杀人,寸铁杀人,cùn tiě shā rén,一寸长的短兵器即可以杀人。比喻事物主要是在于精而不是在于多。,明·沈德符《野获编·释道·禅林诸名宿》：“崇尚宗门，主于单刀入阵，～。”
菜单,2,摘领格,根据谜题字词近义联想、合成,菜解为食物，单解为单一，味道重复，即得食重味，由于摘领格，可解为食不重味,食不重味,shí bù chóng wèi,味：菜肴。吃饭不要两样菜肴。形容生活俭朴。,清·石玉昆《小五义》第98回：“却安于节俭，茅茨不剪，采椽不斫，后宫妃妾，衣不重彩，～。”
何故专权又谋私,5,谜语·灯谜,根据所描述事情的原因联想、合成,因为势力、利益导致，可解为因势利导,因势利导,yīn shì lì dǎo,因：顺着；势：趋势；利导：引导。顺着事情发展的趋势，加以引导。,所以开明的行政者对于民意是～的，民意得到畅达，社会也就健全地发展了起来。（郭沫若《革命春秋·创造十年续篇》）
废除死刑,6,灯谜,根据谜题字词近义以及引申义联想,也就是犯死罪了也不容许诛杀了，可解为罪不容诛,罪不容诛,zuì bù róng zhū,诛：把罪人杀死。罪恶极大，杀了也抵不了所犯的罪恶。,这厮若论着五刑发落，可便～。（元·秦简夫《东堂老》第三折）
翻砂出废品,4,折胫格,根据所描述事情以及字词近义、相关义联想、合成,翻砂解为将铁水倒入模具铸成物品，出废品意味着弄错了，即得铸成错，由于折胫格，可解为铸成大错,铸成大错,zhù chéng dà cuò,铸：铸造，把金属熔化后倒入模具内制成器物；错：错误。指造成严重的错误。,倘若我晚回一步，岂不～！（姚雪垠《李自成》第一卷第十五章）
救火踢倒煤油罐,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,火上浇油,huǒ shàng jiāo yóu,往火上倒油。比喻使人更加愤怒或使情况更加严重。,这么一来，大家的情绪就象～似的。
唐三藏过火焰山,2,歇后语,根据歇后语,歇后语是一种固定、约定俗成的语言形式，不作详解,凶多吉少,xiōng duō jí shǎo,凶：不幸；吉：吉利。指估计事态的发展趋势不妙，凶害多，吉利少。,主公抱病半月，被奸臣隔绝内外，声息不通。世子此梦，～。（明·冯梦龙《东周列国志》第三十二回）
社会舆论,2,谜语,根据谜题意思联想,纸笔喉舌即指社会舆论,纸笔喉舌,zhǐ bǐ hóu shé,指社会舆论,鲁迅《〈热风〉题记》：“真所谓‘事实胜于雄辩’，又何待于～的批评。”
孤舟尽日横,10,灯谜,根据诗句上下文以及引申义联想、合成,出自寇准《春日登楼怀旧》，原诗为“远水无人渡，孤舟尽日横。”，很容联想到无人问津,无人问津,wú rén wèn jīn,问津：询问渡口。比喻没有人来探问、尝试或购买。,这部传记小说，虽然摆在书架上，却根本～。
闭门思过,4,红豆格,根据谜题字词近义以及相关义联想、合成,闭门可解为独处，思过解为使变好即善其身，即得“独，善其身”，由于红豆格，解为独善其身,独善其身,dú shàn qí shēn,独：唯独；善：好，维护。原意是做不上官就修养好自身。现指只顾自己，不管别人。,～尽日安，何须千古名不朽。（明·罗贯中《三国演义》第三十七回）
红楼之间言黄梁,3,谜语·灯谜,根据书籍以及字词近义联想、合成,红楼解为红楼梦，黄粱也可解为梦，之间即中，言即说，于是可解为梦中说梦,梦中说梦,mèng zhōng shuō mèng,原为佛家语，比喻虚幻无凭。后也比喻胡言乱语。,耳食之徒，如矮人观场，随声赞叹，更～。（清·阮葵生《茶余客话》卷十一）
伴奏,2,系铃格,根据谜题字词近义联想、合成,可以解为帮助别人奏乐，由于系铃格，乐读lè，即得助人为乐,助人为乐,zhù rén wéi lè,帮助人就是快乐。,我们要学习雷锋同志勤奋学习、～和艰苦奋斗的崇高品质。
灵,5,灯谜,根据字的拆分、组合以及字词近义联想、合成,灵字拆为彐、火，心急即彐，焚解为火，心急如焚为灵字,心急如焚,xīn jí rú fén,心里急得象着了火一样。形容非常着急。,李自成～，只觉得树木伐得太慢。（姚雪垠《李自成》第二卷第二十六章）
酒后的餐桌,3,谜语·灯谜,根据所描述景象联想、合成,肯定是杯子、盘子非常乱了，可解为杯盘狼藉,杯盘狼藉,bēi pán láng jí,狼藉：象狼窝里的草那样散乱。杯子盘子乱七八糟地放着。形容吃喝以后桌面杂乱的样子。,这桌子微醺，那桌子半酣，～，言语喧哗。（清·李绿园《歧路灯》第八十八回）
兵力一致,2,谜语·灯谜,根据谜题字词近义联想、合成,也就是双方兵力相当，可解为旗鼓相当,旗鼓相当,qí gǔ xiāng dāng,比喻双方力量不相上下。,单说何孝先自办此事以来，居然别开生路，与申大善士一帮～，彼此各不相干。（清·李宝嘉《官场现形记》第三十五回）
没日没夜忙绣花,5,双钩格,根据谜题字词别意以及近义联想、合成,没日没夜可解为不休息，忙绣花可解为刺绣刺绣，即不休刺刺，由于双钩格，可得刺刺不休,刺刺不休,cì cì bù xiū,刺刺：多话的样子。形容说话唠叨，没完没了。,你只听他昨日那一片“但行好事，莫问前程”的话，也不怕人厌，～，就知他素日行为之谬。（清·李汝珍《镜花缘》第八十四回）
捡到钱交给警察叔叔,4,谜语·灯谜,根据所描述事情的原因联想、合成,容易想到这是拾金不昧,拾金不昧,shí jīn bù mèi,金：原指钱财，现泛指各种贵重物品；昧：隐藏。拾到东西并不隐瞒下来据为己有。指良好的仆人道德和社会风尚。,我们每个人都应从小养成～的好品德。
孩子脸,5,灯谜,根据所描述事物特点联想、合成,小孩的脸，自然是一会开心，一会不开心，也就是变化无常,变化无常,biàn huà wú cháng,无常：没有常态。指事物经常变化，没有规律性。,近来天气～，一会儿晴空万里，一会儿又大雨倾盆。
跷跷板,3,灯谜,根据所描述事物特点联想、合成,这边起来那边落下去，可解为此起彼伏,此起彼伏,cǐ qǐ bǐ fú,这里起来，那里下去。形容接连不断。,～，似有万人响应。（华而实《汉衣冠》四）
