TIMU,CHAODAI,ZUOZHE,NEIRONG,YIWEN,ZZJIANJIE
山居秋暝,唐代,王维,空山新雨后，天气晚来秋。#明月松间照，清泉石上流。#竹喧归浣女，莲动下渔舟。#随意春芳歇，王孙自可留。,空旷的群山沐浴了一场新雨，夜晚降临，空气凉爽，仿佛已经到了秋天。皎皎明月从松隙间洒下清光，清清泉水在山石上淙淙淌流。竹林喧响知是洗衣姑娘归来，莲叶轻摇想是上游荡下轻舟。春日的芳菲不妨任随它消歇，秋天的山中王孙自可以久留。,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。
归嵩山作,唐代,王维,清川带长薄，车马去闲闲。#流水如有意，暮禽相与还。#荒城临古渡，落日满秋山。#迢递嵩高下，归来且闭关。,清澈的川水环绕一片草木，驾车马徐徐而去从容悠闲。流水好像对我充满了情意，傍晚的鸟儿随我一同回还。荒凉的城池靠着古老渡口，落日的余晖洒满金色秋山。在遥远又高峻的嵩山脚下，闭上门谢绝世俗度过晚年。,王维（701年－761年，一说699年—761年），字摩诘，汉族，河东蒲州（今山西运城）人，祖籍山西祁县，唐朝诗人，有“诗佛”之称。苏轼评价其：“味摩诘之诗，诗中有画；观摩诘之画，画中有诗。”开元九年（721年）中进士，任太乐丞。王维是盛唐诗人的代表，今存诗400余首，重要诗作有《相思》《山居秋暝》等。王维精通佛学，受禅宗影响很大。佛教有一部《维摩诘经》，是王维名和字的由来。王维诗书画都很有名，非常多才多艺，音乐也很精通。与孟浩然合称“王孟”。
次北固山下,唐代,王湾,客路青山外，行舟绿水前。#潮平两岸阔，风正一帆悬。#海日生残夜，江春入旧年。#乡书何处达？#归雁洛阳边。,旅途在青山外，在碧绿的江水前行舟。潮水涨满，两岸之间水面宽阔，顺风行船恰好把帆儿高悬。夜幕还没有褪尽，旭日已在江上冉冉升起，还在旧年时分，江南已有了春天的气息。寄出去的家信不知何时才能到达，希望北归的大雁捎到洛阳去。,王湾作为开元初年的北方诗人，往来于吴楚间，被江南清丽山水所倾倒，并受到当时吴中诗人清秀诗风的影响，写下了一些歌咏江南山水的作品，《次北固山下》就是其中最为著名的一篇。尤其其中“海日生残夜，江春入旧年”两句，得到当时的宰相张说的极度赞赏，并亲自书写悬挂于宰相政事堂上，让文人学士作为学习的典范。由此，这两句诗中表现的那种壮阔高朗的境象便对盛唐诗坛产生了重要的影响。直到唐末诗人郑谷还说“何如海日生残夜，一句能令万古传”，表达出极度钦羡之情。
云阳馆与韩绅宿别,唐代,司空曙,故人江海别，几度隔山川。#乍见翻疑梦，相悲各问年。#孤灯寒照雨，深竹暗浮烟。#更有明朝恨，离杯惜共传。,自从和老友在江海分别，隔山隔水已度过多少年。突然相见反而怀疑是梦，悲伤叹息互相询问年龄。孤灯暗淡照着窗外冷雨，幽深的竹林漂浮着云烟。明朝更有一种离愁别恨，难得今夜聚会传杯痛饮。,司空曙(约720-790年)，字文明，或作文初。广平（今河北永年县东南）人，大历十才子之一，唐代诗人。约唐代宗大历初前后在世。大历年进士，磊落有奇才，与李约为至交。性耿介，不干权要。家无担石，晏如也。尝因病中不给，遣其爱姬。韦辠节度剑南，辟致幕府。授洛阳主簿。。其诗多为行旅赠别之作，长于抒情，多有名句。胡震亨曰：&quot;司空虞部婉雅闲淡，语近性情。&quot;(《唐音癸签》卷七)有《司空文明诗集》。其诗朴素真挚，情感细腻，多写自然景色和乡情旅思，长于五律。诗风闲雅疏淡。
喜外弟卢纶见宿,唐代,司空曙,静夜四无邻，荒居旧业贫。#雨中黄叶树，灯下白头人。#以我独沉久，愧君相见频。#平生自有分，况是蔡家亲。,静静的深夜四周没有相邻，居住在荒野因为家中清贫。树上黄叶在雨中纷纷飘零，犹如灯下白发老人的命运。自惭这样长久地孤独沉沦，辜负你频繁地来把我慰问。我们是诗友生来就有缘分，更何况你我两家还是表亲。,司空曙(约720-790年)，字文明，或作文初。广平（今河北永年县东南）人，大历十才子之一，唐代诗人。约唐代宗大历初前后在世。大历年进士，磊落有奇才，与李约为至交。性耿介，不干权要。家无担石，晏如也。尝因病中不给，遣其爱姬。韦辠节度剑南，辟致幕府。授洛阳主簿。。其诗多为行旅赠别之作，长于抒情，多有名句。胡震亨曰：&quot;司空虞部婉雅闲淡，语近性情。&quot;(《唐音癸签》卷七)有《司空文明诗集》。其诗朴素真挚，情感细腻，多写自然景色和乡情旅思，长于五律。诗风闲雅疏淡。
贼平后送人北归,唐代,司空曙,世乱同南去，时清独北还。#他乡生白发，旧国见青山。#晓月过残垒，繁星宿故关。#寒禽与衰草，处处伴愁颜。,战乱时我和你一同逃到南方，时局安定你却独自北归家园。流落他乡头上已经生出白发，战后的家乡也只能见到青山。晓行要经过许多残破的营垒，夜里只能披星露宿荒凉故关。旷野里的飞禽与枯黄的野草，将处处伴随着你的悲苦愁颜。,司空曙(约720-790年)，字文明，或作文初。广平（今河北永年县东南）人，大历十才子之一，唐代诗人。约唐代宗大历初前后在世。大历年进士，磊落有奇才，与李约为至交。性耿介，不干权要。家无担石，晏如也。尝因病中不给，遣其爱姬。韦辠节度剑南，辟致幕府。授洛阳主簿。。其诗多为行旅赠别之作，长于抒情，多有名句。胡震亨曰：&quot;司空虞部婉雅闲淡，语近性情。&quot;(《唐音癸签》卷七)有《司空文明诗集》。其诗朴素真挚，情感细腻，多写自然景色和乡情旅思，长于五律。诗风闲雅疏淡。
赋得古原草送别,唐代,白居易,离离原上草，一岁一枯荣。#野火烧不尽，春风吹又生。#远芳侵古道，晴翠接荒城。#又送王孙去，萋萋满别情。,长长的原上草是多么茂盛，每年秋冬枯黄春来草色浓。无情的野火只能烧掉干叶，春风吹来大地又是绿茸茸。野草野花蔓延着淹没古道，艳阳下草地尽头是你征程。我又一次送走知心的好友，茂密的青草代表我的深情。,白居易（772年－846年），字乐天，号香山居士，又号醉吟先生，祖籍太原，到其曾祖父时迁居下邽，生于河南新郑。是唐代伟大的现实主义诗人，唐代三大诗人之一。白居易与元稹共同倡导新乐府运动，世称“元白”，与刘禹锡并称“刘白”。白居易的诗歌题材广泛，形式多样，语言平易通俗，有“诗魔”和“诗王”之称。官至翰林学士、左赞善大夫。公元846年，白居易在洛阳逝世，葬于香山。有《白氏长庆集》传世，代表诗作有《长恨歌》、《卖炭翁》、《琵琶行》等。
题大庾岭北驿,唐代,宋之问,阳月南飞雁，传闻至此回。#我行殊未已，何日复归来。#江静潮初落，林昏瘴不开。#明朝望乡处，应见陇头梅。,阴历十月的时候，大雁就开始南飞，据说飞到大庾岭，它们就全部折回。鸟儿不进，我却行程未止远涉岭南，真不知何日何时，我才能遇赦归来？潮水退落了，江面静静地泛着涟漪，深山老林昏暗暗，瘴气浓重散不开。来日我登上高山顶，向北遥望故乡，抑或能看到：那山头上初放的红梅。,宋之问，字延清，一名少连，汉族，汾州（今山西汾阳市）人。一说虢州弘农（今河南灵宝县）人。初唐时期的著名诗人。
寄左省杜拾遗,唐代,岑参,联步趋丹陛，分曹限紫微。#晓随天仗入，暮惹御香归。#白发悲花落，青云羡鸟飞。#圣朝无阙事，自觉谏书稀。,上朝时齐步同登红色台阶，分署办公又和你相隔紫微。早晨跟着天子的仪仗入朝，晚上身染御炉的香气回归。满头增白发悲叹春花凋落，遥望青云万里羡慕鸟高飞。圣明的朝代大概没有错事，规谏皇帝的奏章日见稀微。,岑参（约715-770年），唐代边塞诗人，南阳人，太宗时功臣岑文本重孙，后徙居江陵。[1-2]岑参早岁孤贫，从兄就读，遍览史籍。唐玄宗天宝三载（744年）进士，初为率府兵曹参军。后两次从军边塞，先在安西节度使高仙芝幕府掌书记；天宝末年，封常清为安西北庭节度使时，为其幕府判官。代宗时，曾官嘉州刺史（今四川乐山），世称“岑嘉州”。大历五年（770年）卒于成都。
听蜀僧濬弹琴,唐代,李白,蜀僧抱绿绮，西下峨眉峰。#为我一挥手，如听万壑松。#客心洗流水，余响入霜钟。#不觉碧山暮，秋云暗几重。,蜀僧怀抱着绿绮琴，来自遥远的峨眉山。为我随意挥手一弹，如同听到万壑松声。余音袅袅，汇入霜天钟声，我心清静，如经流水洗过。不知不觉，暮色笼罩青山，秋云黯淡，布满黄昏天空。,李白（701年－762年），字太白，号青莲居士，唐朝浪漫主义诗人，被后人誉为“诗仙”。祖籍陇西成纪(待考)，出生于西域碎叶城，4岁再随父迁至剑南道绵州。李白存世诗文千余篇，有《李太白集》传世。762年病逝，享年61岁。其墓在今安徽当涂，四川江油、湖北安陆有纪念馆。
夜泊牛渚怀古,唐代,李白,牛渚西江夜，青天无片云。#登舟望秋月，空忆谢将军。#余亦能高咏，斯人不可闻。#明朝挂帆席，枫叶落纷纷。,秋夜行舟停泊在西江牛渚山，蔚蓝的天空中没有一丝游云。我登上小船仰望明朗的秋月，徒然地怀想起东晋谢尚将军。我也能够吟哦袁宏的咏史诗，可惜没有那识贤的将军倾听。明早我将挂起船帆离开牛渚，这里只有满天枫叶飘落纷纷。,李白（701年－762年），字太白，号青莲居士，唐朝浪漫主义诗人，被后人誉为“诗仙”。祖籍陇西成纪(待考)，出生于西域碎叶城，4岁再随父迁至剑南道绵州。李白存世诗文千余篇，有《李太白集》传世。762年病逝，享年61岁。其墓在今安徽当涂，四川江油、湖北安陆有纪念馆。
赠孟浩然,唐代,李白,吾爱孟夫子，风流天下闻。#红颜弃轩冕，白首卧松云。#醉月频中圣，迷花不事君。#高山安可仰，徒此揖清芬。,我敬重孟先生的庄重潇洒，他为人高尚风流倜傥闻名天下。少年时鄙视功名不爱官冕车马，高龄白首又归隐山林摒弃尘杂。明月夜常常饮酒醉得非凡高雅，他不事君王迷恋花草胸怀豁达。高山似的品格怎么能仰望着他？只在此揖敬他芬芳的道德光华！,李白（701年－762年），字太白，号青莲居士，唐朝浪漫主义诗人，被后人誉为“诗仙”。祖籍陇西成纪(待考)，出生于西域碎叶城，4岁再随父迁至剑南道绵州。李白存世诗文千余篇，有《李太白集》传世。762年病逝，享年61岁。其墓在今安徽当涂，四川江油、湖北安陆有纪念馆。
渡荆门送别,唐代,李白,渡远荆门外，来从楚国游。#山随平野尽，江入大荒流。#月下飞天镜，云生结海楼。#仍怜故乡水，万里送行舟。,乘船远行，路过荆门一带，来到楚国故地。青山渐渐消失，平野一望无边。长江滔滔奔涌，流入广袤荒原。月映江面，犹如明天飞镜；云彩升起，变幻无穷，结成了海市蜃楼。故乡之水恋恋不舍，不远万里送我行舟。,李白（701年－762年），字太白，号青莲居士，唐朝浪漫主义诗人，被后人誉为“诗仙”。祖籍陇西成纪(待考)，出生于西域碎叶城，4岁再随父迁至剑南道绵州。李白存世诗文千余篇，有《李太白集》传世。762年病逝，享年61岁。其墓在今安徽当涂，四川江油、湖北安陆有纪念馆。
送友人,唐代,李白,青山横北郭，白水绕东城。#此地一为别，孤蓬万里征。#浮云游子意，落日故人情。#挥手自兹去，萧萧班马鸣。,青翠的山峦横卧在城墙的北面，波光粼粼的流水围绕着城的东边。在此地我们相互道别，你就像孤蓬那样随风飘荡，到万里之外远行去了。浮云像游子一样行踪不定，夕阳徐徐下山，似乎有所留恋。挥挥手从此分离，友人骑的那匹将要载他远行的马萧萧长鸣，似乎不忍离去。,李白（701年－762年），字太白，号青莲居士，唐朝浪漫主义诗人，被后人誉为“诗仙”。祖籍陇西成纪(待考)，出生于西域碎叶城，4岁再随父迁至剑南道绵州。李白存世诗文千余篇，有《李太白集》传世。762年病逝，享年61岁。其墓在今安徽当涂，四川江油、湖北安陆有纪念馆。
喜见外弟又言别,唐代,李益,十年离乱后，长大一相逢。#问姓惊初见，称名忆旧容。#别来沧海事，语罢暮天钟。#明日巴陵道，秋山又几重。,经过了近十年的战乱流离，长大成人后竟然意外相逢。初见不相识还惊问名和姓，称名后才想起旧时的面容。说不完别离后世事的变化，一直畅谈到黄昏寺院鸣钟。明日你又要登上巴陵古道，秋山添忧愁不知又隔几重？,李益(约750—约830)，唐代诗人，字君虞，祖籍凉州姑臧（今甘肃武威市凉州区），后迁河南郑州。大历四年(769)进士，初任郑县尉，久不得升迁，建中四年(783)登书判拔萃科。因仕途失意，后弃官在燕赵一带漫游。以边塞诗作名世，擅长绝句，尤其工于七绝。
凉思,唐代,李商隐,客去波平槛，蝉休露满枝。#永怀当此节，倚立自移时。#北斗兼春远，南陵寓使迟。#天涯占梦数，疑误有新知。,当初你离去时春潮漫平栏杆；如今秋蝉不鸣露水挂满树枝。我永远怀念当时那美好时节；今日重倚槛前不觉时光流逝。你北方的住处像春天般遥远；我在南陵嫌送信人来得太迟。远隔天涯我屡次占卜着美梦；疑心你有新交而把老友忘记。,李商隐，字义山，号玉溪（谿）生、樊南生，唐代著名诗人，祖籍河内（今河南省焦作市）沁阳，出生于郑州荥阳。他擅长诗歌写作，骈文文学价值也很高，是晚唐最出色的诗人之一，和杜牧合称“小李杜”，与温庭筠合称为“温李”，因诗文与同时期的段成式、温庭筠风格相近，且三人都在家族里排行第十六，故并称为“三十六体”。其诗构思新奇，风格秾丽，尤其是一些爱情诗和无题诗写得缠绵悱恻，优美动人，广为传诵。但部分诗歌过于隐晦迷离，难于索解，至有“诗家总爱西昆好，独恨无人作郑笺”之说。因处于牛李党争的夹缝之中，一生很不得志。死后葬于家乡沁阳（今河南焦作市沁阳与博爱县交界之处）。作品收录为《李义山诗集》。
北青萝,唐代,李商隐,残阳西入崦，茅屋访孤僧。#落叶人何在，寒云路几层。#独敲初夜磬，闲倚一枝藤。#世界微尘里，吾宁爱与憎。,夕阳落入崦嵫山，我去茅屋里探访孤独的僧人。满地落叶，僧人何在？遍山寒云，山路要走多久？初夜时分只听他独自敲磐，闲适中靠着一枝青藤。大千世界都在微尘里，我为什么要有喜爱和憎恨？,李商隐，字义山，号玉溪（谿）生、樊南生，唐代著名诗人，祖籍河内（今河南省焦作市）沁阳，出生于郑州荥阳。他擅长诗歌写作，骈文文学价值也很高，是晚唐最出色的诗人之一，和杜牧合称“小李杜”，与温庭筠合称为“温李”，因诗文与同时期的段成式、温庭筠风格相近，且三人都在家族里排行第十六，故并称为“三十六体”。其诗构思新奇，风格秾丽，尤其是一些爱情诗和无题诗写得缠绵悱恻，优美动人，广为传诵。但部分诗歌过于隐晦迷离，难于索解，至有“诗家总爱西昆好，独恨无人作郑笺”之说。因处于牛李党争的夹缝之中，一生很不得志。死后葬于家乡沁阳（今河南焦作市沁阳与博爱县交界之处）。作品收录为《李义山诗集》。
蝉,唐代,李商隐,本以高难饱，徒劳恨费声。#五更疏欲断，一树碧无情。#薄宦梗犹泛，故园芜已平。#烦君最相警，我亦举家清。,你栖身高枝之上才难以饱腹，悲鸣传恨无人理会白费其声。五更以后疏落之声几近断绝，满树碧绿依然如故毫不动情。我官职卑下像桃梗漂流不定，家园长期荒芜杂草早已长平。烦劳你的鸣叫让我能够警醒，我是一贫如洗全家水一样清。,李商隐，字义山，号玉溪（谿）生、樊南生，唐代著名诗人，祖籍河内（今河南省焦作市）沁阳，出生于郑州荥阳。他擅长诗歌写作，骈文文学价值也很高，是晚唐最出色的诗人之一，和杜牧合称“小李杜”，与温庭筠合称为“温李”，因诗文与同时期的段成式、温庭筠风格相近，且三人都在家族里排行第十六，故并称为“三十六体”。其诗构思新奇，风格秾丽，尤其是一些爱情诗和无题诗写得缠绵悱恻，优美动人，广为传诵。但部分诗歌过于隐晦迷离，难于索解，至有“诗家总爱西昆好，独恨无人作郑笺”之说。因处于牛李党争的夹缝之中，一生很不得志。死后葬于家乡沁阳（今河南焦作市沁阳与博爱县交界之处）。作品收录为《李义山诗集》。
风雨,唐代,李商隐,凄凉宝剑篇，羁泊欲穷年。#黄叶仍风雨，青楼自管弦。#新知遭薄俗，旧好隔良缘。#心断新丰酒，销愁斗几千。,我虽然胸怀匡国之志，也有郭元振《宝剑篇》那样充满豪气的诗篇，但却不遇明主，长期羁旅在外虚度华年。黄叶已经衰枯，风雨仍在摧毁，豪门贵族的高楼里，阔人们正在轻歌曼舞，演奏着急管繁弦。新交的朋友遭到浇薄世俗的非难，故旧日的老友又因层层阻隔而疏远无缘。心中想要断绝这些苦恼焦烦，要用新丰美酒来销愁解闷，管它价钱是十千还是八千。,李商隐，字义山，号玉溪（谿）生、樊南生，唐代著名诗人，祖籍河内（今河南省焦作市）沁阳，出生于郑州荥阳。他擅长诗歌写作，骈文文学价值也很高，是晚唐最出色的诗人之一，和杜牧合称“小李杜”，与温庭筠合称为“温李”，因诗文与同时期的段成式、温庭筠风格相近，且三人都在家族里排行第十六，故并称为“三十六体”。其诗构思新奇，风格秾丽，尤其是一些爱情诗和无题诗写得缠绵悱恻，优美动人，广为传诵。但部分诗歌过于隐晦迷离，难于索解，至有“诗家总爱西昆好，独恨无人作郑笺”之说。因处于牛李党争的夹缝之中，一生很不得志。死后葬于家乡沁阳（今河南焦作市沁阳与博爱县交界之处）。作品收录为《李义山诗集》。
落花,唐代,李商隐,高阁客竟去，小园花乱飞。#参差连曲陌，迢递送斜晖。#肠断未忍扫，眼穿仍欲归。#芳心向春尽，所得是沾衣。,高阁上的游客们已经竞相离去；小园的春花随风凋零纷纷乱飞。花影参差迷离接连着弯弯小径；远望落花回舞映着斜阳的余晖。我的肝肠欲断不忍把落红扫去；望眼欲穿盼来春天却匆匆回归。爱花惜花自然要怨春去得太早；春尽花谢所得的只是落泪沾衣。,李商隐，字义山，号玉溪（谿）生、樊南生，唐代著名诗人，祖籍河内（今河南省焦作市）沁阳，出生于郑州荥阳。他擅长诗歌写作，骈文文学价值也很高，是晚唐最出色的诗人之一，和杜牧合称“小李杜”，与温庭筠合称为“温李”，因诗文与同时期的段成式、温庭筠风格相近，且三人都在家族里排行第十六，故并称为“三十六体”。其诗构思新奇，风格秾丽，尤其是一些爱情诗和无题诗写得缠绵悱恻，优美动人，广为传诵。但部分诗歌过于隐晦迷离，难于索解，至有“诗家总爱西昆好，独恨无人作郑笺”之说。因处于牛李党争的夹缝之中，一生很不得志。死后葬于家乡沁阳（今河南焦作市沁阳与博爱县交界之处）。作品收录为《李义山诗集》。
登岳阳楼,唐代,杜甫,昔闻洞庭水，今上岳阳楼。#吴楚东南坼，乾坤日夜浮。#亲朋无一字，老病有孤舟。#戎马关山北，凭轩涕泗流。,以前的日子就听说洞庭湖波澜壮阔，今日如愿终于登上岳阳楼。浩瀚的湖水把吴楚两地撕裂，似乎日月星辰都漂浮在水中。亲朋好友们音信全无，我年老多病，乘孤舟四处漂流。北方边关战事又起，我倚着栏杆远望泪流满面。,杜甫（712－770），字子美，自号少陵野老，世称“杜工部”、“杜少陵”等，汉族，河南府巩县（今河南省巩义市）人，唐代伟大的现实主义诗人，杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了跟另外两位诗人李商隐与杜牧即“小李杜”区别开来，杜甫与李白又合称“大李杜”。他忧国忧民，人格高尚，他的约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中备受推崇，影响深远。759-766年间曾居成都，后世有杜甫草堂纪念。
奉济驿重送严公四韵,唐代,杜甫,远送从此别，青山空复情。#几时杯重把，昨夜月同行。#列郡讴歌惜，三朝出入荣。#江村独归处，寂寞养残生。,远送你从这里就要分别了，青山空自惆怅，倍增离情。什么时候能够再举杯共饮，昨天夜里我们还在月色中同行。各郡的百姓都讴歌你，不忍心你离去，你在三朝为官，多么光荣。送走你我独自回到江村，寂寞地度过剩下的岁月。,杜甫（712－770），字子美，自号少陵野老，世称“杜工部”、“杜少陵”等，汉族，河南府巩县（今河南省巩义市）人，唐代伟大的现实主义诗人，杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了跟另外两位诗人李商隐与杜牧即“小李杜”区别开来，杜甫与李白又合称“大李杜”。他忧国忧民，人格高尚，他的约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中备受推崇，影响深远。759-766年间曾居成都，后世有杜甫草堂纪念。
别房太尉墓,唐代,杜甫,他乡复行役，驻马别孤坟。#近泪无干土，低空有断云。#对棋陪谢傅，把剑觅徐君。#唯见林花落，莺啼送客闻。,我东西漂泊，一再奔走他乡异土，今日歇脚阆州，来悼别你的孤坟。泪水沾湿了泥土，心情十分悲痛，精神恍惚，就象低空飘飞的断云。当年与你对棋，比你为晋朝谢安，而今在你墓前，象季札拜别徐君。不堪回首，眼前只见这林花错落，离去时，听得黄莺啼声凄怆难闻。,杜甫（712－770），字子美，自号少陵野老，世称“杜工部”、“杜少陵”等，汉族，河南府巩县（今河南省巩义市）人，唐代伟大的现实主义诗人，杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了跟另外两位诗人李商隐与杜牧即“小李杜”区别开来，杜甫与李白又合称“大李杜”。他忧国忧民，人格高尚，他的约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中备受推崇，影响深远。759-766年间曾居成都，后世有杜甫草堂纪念。
旅夜书怀,唐代,杜甫,细草微风岸，危樯独夜舟。#星垂平野阔，月涌大江流。#名岂文章著，官应老病休。#飘飘何所似，天地一沙鸥。,微风吹拂着江岸的细草，那立着高高桅杆的小船在夜里孤零地停泊着。星星垂在天边，平野显得宽阔；月光随波涌动，大江滚滚东流。我难道是因为文章而著名吗？年老病多也应该休官了。自己到处漂泊像什么呢？就像天地间的一只孤零零的沙鸥。,杜甫（712－770），字子美，自号少陵野老，世称“杜工部”、“杜少陵”等，汉族，河南府巩县（今河南省巩义市）人，唐代伟大的现实主义诗人，杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了跟另外两位诗人李商隐与杜牧即“小李杜”区别开来，杜甫与李白又合称“大李杜”。他忧国忧民，人格高尚，他的约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中备受推崇，影响深远。759-766年间曾居成都，后世有杜甫草堂纪念。
至德二载甫自京金光门出问道归凤翔乾元初…有悲往事,唐代,杜甫,此道昔归顺，西郊胡正繁。#至今残破胆，应有未招魂。#近得归京邑，移官岂至尊。#无才日衰老，驻马望千门。,当年由金光门这条路，去投奔凤翔，长安西郊，到处是安史叛军正作乱。直到如今想起来，仍叫人心惊胆颤，有人神魂尚未招回，依然诚恐诚惶。我拜近得左拾遗，回到了京畿地方，贬我华州掾，这旨意难道出自至尊。算了吧，我这庸才已逐日衰老鬓苍，告别长安，驻马回望千门宫殿檐房！,杜甫（712－770），字子美，自号少陵野老，世称“杜工部”、“杜少陵”等，汉族，河南府巩县（今河南省巩义市）人，唐代伟大的现实主义诗人，杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了跟另外两位诗人李商隐与杜牧即“小李杜”区别开来，杜甫与李白又合称“大李杜”。他忧国忧民，人格高尚，他的约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中备受推崇，影响深远。759-766年间曾居成都，后世有杜甫草堂纪念。
月夜忆舍弟,唐代,杜甫,戍鼓断人行，边秋一雁声。#露从今夜白，月是故乡明。#有弟皆分散，无家问死生。#寄书长不达，况乃未休兵。,戍楼上的更鼓声隔断了人们的来往，边塞的秋天里，一只孤雁正在鸣叫。从今夜就进入了白露节气，月亮还是故乡的最明亮。有兄弟却都分散了，没有家无法探问生死。寄往洛阳城的家书常常不能送到，何况战乱频繁没有停止。,杜甫（712－770），字子美，自号少陵野老，世称“杜工部”、“杜少陵”等，汉族，河南府巩县（今河南省巩义市）人，唐代伟大的现实主义诗人，杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了跟另外两位诗人李商隐与杜牧即“小李杜”区别开来，杜甫与李白又合称“大李杜”。他忧国忧民，人格高尚，他的约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中备受推崇，影响深远。759-766年间曾居成都，后世有杜甫草堂纪念。
天末怀李白,唐代,杜甫,凉风起天末，君子意如何。#鸿雁几时到，江湖秋水多。#文章憎命达，魑魅喜人过。#应共冤魂语，投诗赠汨罗。,凉风飕飕地从天边刮起，你的心境怎样呢？令我惦念不已。我的书信不知何时你能收到？只恐江湖险恶，秋水多风浪。创作诗文最忌讳坦荡的命途，奸佞小人最希望好人犯错误。你与沉冤的屈子同命运，应投诗于汨罗江诉说冤屈与不平。,杜甫（712－770），字子美，自号少陵野老，世称“杜工部”、“杜少陵”等，汉族，河南府巩县（今河南省巩义市）人，唐代伟大的现实主义诗人，杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了跟另外两位诗人李商隐与杜牧即“小李杜”区别开来，杜甫与李白又合称“大李杜”。他忧国忧民，人格高尚，他的约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中备受推崇，影响深远。759-766年间曾居成都，后世有杜甫草堂纪念。
月夜,唐代,杜甫,今夜鄜州月，闺中只独看。#遥怜小儿女，未解忆长安。#香雾云鬟湿，清辉玉臂寒。#何时倚虚幌，双照泪痕干。,今夜鄜州月亮，一定同样清圆，遥想闺中妻子，只能独自观赏。可怜幼小的儿女，怎懂思念的心酸？蒙蒙雾气，或许沾湿了妻子的鬓发；冷冷月光，该是映寒了妻子的玉臂。何时才能团圆相见，倚靠薄帷共赏明月。那时一定月色依旧，就让月光默默照干我们的泪痕。,杜甫（712－770），字子美，自号少陵野老，世称“杜工部”、“杜少陵”等，汉族，河南府巩县（今河南省巩义市）人，唐代伟大的现实主义诗人，杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了跟另外两位诗人李商隐与杜牧即“小李杜”区别开来，杜甫与李白又合称“大李杜”。他忧国忧民，人格高尚，他的约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中备受推崇，影响深远。759-766年间曾居成都，后世有杜甫草堂纪念。
春望,唐代,杜甫,国破山河在，城春草木深。#感时花溅泪，恨别鸟惊心。#烽火连三月，家书抵万金。#白头搔更短，浑欲不胜簪。,长安沦陷，国家破碎，只有山河依旧；春天来了，人烟稀少的长安城里草木茂密。感伤国事，不禁涕泪四溅，鸟鸣惊心，徒增离愁别恨。连绵的战火已经延续了半年多，家书难得，一封抵得上万两黄金。愁绪缠绕，搔头思考，白发越搔越短，简直要不能插簪了。,杜甫（712－770），字子美，自号少陵野老，世称“杜工部”、“杜少陵”等，汉族，河南府巩县（今河南省巩义市）人，唐代伟大的现实主义诗人，杜甫被世人尊为“诗圣”，其诗被称为“诗史”。杜甫与李白合称“李杜”，为了跟另外两位诗人李商隐与杜牧即“小李杜”区别开来，杜甫与李白又合称“大李杜”。他忧国忧民，人格高尚，他的约1400余首诗被保留了下来，诗艺精湛，在中国古典诗歌中备受推崇，影响深远。759-766年间曾居成都，后世有杜甫草堂纪念。
