MITI,NANDU,MIDI,JIESHI
午时风向偏东,4,驱,“午”是地支的第七位，属“马”；“风”字的风向变了，偏东方向。
人结同心留个影#原天下有情人都成眷属,2,答,“人”与“同”字的中心结合，成为“合”字；“个”与其影子组合，即“竹”。#“答”字拆分为“个个合”，与谜面之义相扣。
一点爱心献父兄,5,宿,“爱”字中心是“冖”，与“一点”组成“宀一”；“父兄”称为“伯”。
个个争先猜灯谜,6,彪,“个个争”三字的先笔都是“丿”；“猜灯谜”又称“射虎”。
交大附中不算大,7,佼,“附”字中间为“亻”；“交大”不把“大”字算在内，只算“交”字。
山中乡乡变了样#两个幼童去爬山，没有力气上山巅，只好躲在山谷里，直到天黑还不回#两个幼童去砍柴，没有力气砍不来，回家又怕人笑话，躲在山中不出来,5,幽,“山”字中的“乡乡”变了样，变成了“幽”字。#“幼”字没有“力”，余下“幺”；“幺幺”躲在“山”里，便是“幽”字，“幽”的字义为“地方很僻静又光线暗”。#两个“幼”童没“力”气，剩下“幺幺”；“幺幺”不敢回家，躲在“山”中。
十分用心细思量,6,忖,单位“十分”换算为一“寸”；与“心”结合为“忖”字；“忖”字义为思量。
左边有撇产米粮，右边无撇是太阳#左边加一即来，右边加一成百,8,粕,“粕”字的左边是“米”，“米”有撇是“禾”；右边是“白”，“白”无撇是日（太阳）。#“粕”字左边是“米”，右边是“白”，“米”来“一”即“来”，“白”加“一”成“百”。
西湖雪晴日落时,9,浔,“湖”字的西边，为“氵”；“雪”字“晴”了，即没了“雨”，余下“彐”；“时”落“日”，剩下“寸”。
一去休矣#就是我,1,体,“体”字的“一”去了，就成为“休”字。“矣”，作文言助词。#“我”即本人！
三十天夺得锦旗,3,阴,“三十天”为一“月”；“阝”以象形法扣“锦旗”。
挂刀看斗牛，始才放下心,6,懈,先来分析分析谜题的关键词，“刀、斗、牛、心”，“斗”意思为“角斗”。
叫人进去作口供,6,哄,“哄”字与“人”组合，可成为“口供”二字。
有目看不见，日出还昏暗，树旁制饮料，有水如雾烟,3,蒙,“蒙”字有“目”即“矇”，“日”出即“曚”，“树”旁即“檬”，有“水”如“濛”。
四时山中闻清音,6,卿,“卿”可拆分为“卯、艮”，“卯”在十二地支中排第“四”，“艮”是八卦之一，代表“山”；“卿”与“清”读音相同。
孩子丢了无人认#话说猪年#孩子被弃无人认#失散的孩子无人认#猪八戒说道,2,该,“孩”字的“子”丢了，余下“亥”；“认”字无“人”，即“讠”；合为“该”字。#谜底“该”字可拆解成“言亥”。“猪年”，即“亥年”。#“孩”字的“子”被弃，剩下“亥”。“认”无“人”，即“讠”。#“孩”字的“子”失散了，余下“亥”；“认”无“人”，剩下“讠”。#猪在十二生肖里猪列末位，称之为“亥”。
说话十分得体#说话十分体贴#一寸身高把言发，谈论射箭我行家，感激别人说一说，文明礼貌顶呱呱,3,谢,“体”与“身”同义相扣。长度“十分”可换算为一“寸”。#“说话”即“言语”，扣“言”；长度“十分”换算为一“寸”；再贴着“身”体，就是“谢”字。#“寸”、“身”、“言”。
四方称王名声恶#哥哥一变就惊人#二十四口,6,噩,四个“方格（口）”和“王”组合起来，称“噩”。#“哥哥一”可变幻成为“噩”字，太吓人了！#“二十”和“口口口口”即可构成“噩”字。
丈夫入上席,4,渡,“丈夫”义扣“汉”，与“席”字的上半部分合为“渡”字。
生火烧水,6,浇,“尧”字生出“火”，即为“烧”字。
用心改革方能成,2,周,“用”字的中心改革成“土”后，有“方（口）”就能成为“周”字。
赤膊上阵,8,觥,“觥”字可拆分为“光角”，“角”特指“角斗”。
结果小于三,6,巢,“小于三”即三个小于号（<<<），“<<<”结个“果”就是“巢”字。
上乘之作实不多#一撇之下#眨眼不见,4,乏,“乘”字的最上部分，为“ノ”，与“之”合作为“乏”。“实不多”提示“乏”之意。#“一撇”与“之”组合，且将“之”置于下方。#“眼”扣“目”，“眨”字不见了“目”，余下“乏”。
自我介绍#言及自己#自言自语,1,记,“记”字可拆分为“言己”。#“言”以及自“己”。#“自”即“己”身，“言、语”即“言”字旁。
一条白毛巾挂在木头上,5,棉,“白”、“巾”、“木”组成棉。
今后还要用点心,5,怜,“今”字以后要用“丶忄”。
老头子滴酒不沾,6,酵,“老”字的头部与“子”组合成“孝”字；“滴酒不沾”暗示“酒”字去掉“滴”，剩下“酉”。
十载方回西部行,6,鄙,“方”，别解为方格，形扣“口”。“西部行”另解为“部”字的西边行走了，剩下“阝”。
头上病情重，身上三个洞，如不及时治，丢命葬山中,5,癌,头上有“疒”，三个洞“品”，葬“山”中。
又立起双杆,6,竖,“〢”以象形法扣“双杆”。
一方传来发笑声,4,肃,“肃”与“一方（口）”组合，即为“啸”字。“啸”与“笑”发音相同。
一点一横长，一撇向西方，并排两棵树，栽在石头上,4,磨,“一点一横长，一撇向西方”是“广”，“并排两棵树”是“林”，“栽在石头上”即种在“石”的上面。
残花顺水过前川,7,颍,“花顺”二字残了，分别取“匕页”；“匕页”遇“水”即为“颍”。
南面有条狗，好物送你手,4,献,“狗”字义扣“犬”，“好物送你手”提示“献”的字义。
东西放好买一束#排好之后整上来,6,嫩,“放好”二字的东西部分别是“攵女”，再买一“束”，就组成“嫩”字。#排除掉“好”字后半部分，余下“女”；“整”字的上半部分为“束攵”，与“女”结合成为“嫩”字。
一一称是#添二就是字#只走一半,2,足,“足”与“一一”组合，便可称为“是”字。#“足”字添上“二”就是“是”字。#“只”走了下面的“八”，“走”没了上面的“土”。
贴心人多一点#心有点大,2,态,“人”字多“一点”后，贴上“心”，即为“态”字。#“点大”合为“太”字，与“心”组合，即“态”字。
有点点糟,6,槽,“槽”字添上“点点”，便是“糟”字
旅行坐飞机,4,辈,“辈”字可理解为“非车”。
沿水漂来一叶舟,2,船,“沿”字漂去“水”，再来一叶“舟”，便是“船”字。
成心不来,6,戊,“成”字里面的心不来了。
写下面,1,与,“写”的下面。
半羽不存#有点刁,2,习,“羽”字的一半，不存在了，余下“习”字。#“刁”有点。
一贯为人不小气#这个变化真不小#骑马可去#此人来头可不小#春游两天,1,大,“一”字贯穿“人”，可为“大”字。#“个”字笔划结构变化后，可变成“大”字。“真不小”暗示“大”之意。#“骑”字的“马”和“可”去了，余下“大”字。#“来”字的头笔是“一”，与“人”组合成“大”字；“不小”提示“大”的字义。#“春”字游走了“二日”，余下“大”。
引狼入室不见狗,9,阆,“狼”入“门”去掉“狗（犭）”就是“阆”。
再会#再次相见#第二次见面,2,观,“又见”面了！#又见。#“又”“见”面。
挥手告别到南昌,6,晕,“挥”字的“手”告别了，余下“军”；“昌”字的南部为“曰”。
猜谜已入迷#用人不疑,2,言,“言”加上“迷”，就可猜作“谜”。#“言”字用了“人”就是“信”字。
逐一匹配，双双成功#一一出园会双双,1,四,将“一”配给“匹”，合为“四”字，“四”提示“双双”之意。#“园”字去掉“一一”，余下“四”，“双双”合为“四”。
湖中显倒影,4,潮,“湖中”指“湖”字的中间，即“古”字，“古”字有倒影便形成“十日十”。“湖”字的中间的“古”变成了“十日十”即“潮”字。
人来凑成桌,5,卓,“卓”字与“人”组合，凑成“桌”字。
孙新孙立皆离去,3,析,“孙新”二字的“孙立”离去了，余下“析”字。
谁敢出言是男子,6,滩,“谁”字出了“言”字旁，“男子”义通“汉”。
几点相会,3,凡,“几”与“点”相会，成为“凡”字。
三中六中要减负#大人不在#真心不二专念伊#人如有缘，姻缘终成#有米就来#天下之大堪称奇#酒干客散独念伊#至高无上赤子心#有人自大，占地为王#占有江东可称王#木以何为本#春夜乃不见夫归#没有酒水不留客#得人和者得天下#周边游，少古迹#妇女都去减三围#酒水喝完客散去#大人走了声音依在#字字去了盖，莫当子字猜#火见它就灭，请别把水猜#来日就业到山西#三前五后#人有它变大，天没它变大#灭掉火#为数虽少，却在百万之上#大人不见了#不在上边，不上不下，应在下边，正在两头，长在中间#查看结果，杳无踪迹,1,一,“负”，别指数学符号“一”。“三”字的中间“一”，与六字的中间“一”组合，再减去“一”，得出“一”字。#“大”字的“人”不在，只剩“一”在。#“真”字的中心为“三”，不要“二”后，剩下“一”。“一”与“伊”的读音相同。#“人如”有了谜底“一”，再加上“缘”，即终成“姻缘”二字。#“一”字有“米”，就是“来”字。#“天”字卸下“大”，余下“一”。“奇”，指奇数。#“酒干”提示“酒”字没了“水”，即“酉”。古代主位在东，宾位在西，“客”喻意为“西”；“酉”字散去“客（西）”，余下“一”。“一”与“伊”读音相同。#“至”字的高处是“一”，“无”字的最上端是“一”，“赤子”二字的中心为“一”。谜面三次扣合谜底。#“一”字有“人”，就是“大”字，占了“地（土）”即“王”。#“江”字的东边是“工”，谜底“一”字占有“工”，即可称“王”字。#“以”的字义与“与”相扣，“木”与“一”组合，成为“本”字。#“春夜”即暗示“春”字没了“日”，接着连“夫”也不见了，最后只剩下“一”了。#古代主位在东，宾位在西，故“客”与“西”相扣。“酒”字没有“水”，剩下“酉”，“酉”字不留客（西），余下“一”字。#“一”得“人”字来和，就是“大”字；“大”是“天”字的下半部分。#“周”字的外边框游走了，留下“吉”；“吉”字少了“古”的痕迹，剩下“一”。#“妇”字去掉“女”，再减去“三”围，就只剩下“1”。#“酒”字的“水”喝完，剩下“酉”；古代主位在东，客位在“西”，“客”散去后，只余“一”。#“大”字的“人”走了，余下“一（依）”。#“字”去“了”、“宝盖头”，剩下“一”。#“火”字见到“一”即“灭”字。#“一”字来“日”再就“业”便是“晋”字，“晋”是山西的简称。#“三”字的前部是“一”，“五”字尾部是也是“一”。#“人”字有“一”变“大”，“天”字没“一”也变“大”。#“灭”字掉了“火”，剩下“一”。#“一”很少很少，却是在“百万”的上面。#“大”字的“人”不见了。#“不”的上边，“应”的下边，“正”的两头，“长”的中间。#“查”的“杳”不见了。
八点九点十点,3,染,“染”字由“八九十”和“、、、”组成。
春眠夜无梦#枫林风光,3,森,“春”扣“木”；“夜无梦”别解为“梦”去掉“夕”，剩下林；合而得“森”。#“光”，有减损之义；“枫林”二字减去“风”，余下“森”字。
一半打烊#南方男子#大小调整就明了#大小交错,3,灯,“打烊”二字各取一半，为“灯”。#“南方”对应五行中的“火”；古时，称成年男子为“丁”。#将“大小”二字的笔划进行调整，可成为“灯”字；“明了”暗示“灯”之意。#“大”“小”二字笔画参差排列可成“灯”字。
整理小本本,3,禁,“小本本”三字的笔划重新整理，变成“禁”字。
下边有口,4,吓,“下”字的旁边有“口”。
立定,6,趾,“趾”字要拆解成“止足”。
备酒杀鸡迎子美,6,浦,生肖“鸡”与地支“酉”相扣，“酒”杀掉“鸡”，留下“氵”；“子美”，即杜甫的字。
四目相交巧开口#减四余二#一百分及格#外面四角，里面十角#减二剩下四，减四剩下二#一口吃下十角,3,园,“四目”相交在一起，再去掉“口”，可成“园”字。#“园”字减去“四”，余下“二”。#“一百分”等于一“元”钱，“格”以象形法扣“口”（方格），一“元”及“口”便是“园”字。#“口”字有四个角，一“元”是“十角”。#“园”字减去中间的“二”剩下“四”字，减去“四”剩下“二”字。#“十角”就是“一元”，“口”吃下“元”便是“园”字。
个个不沾油水,6,笛,“个个”群组成“竹”；“不沾油水”别解为“油”字不沾“水”，即“由”字。
东风添翼,2,飞,“风”字的东面是“乙”。
边走边干,3,赶,“赶”字的一半是“走”，一半是“干”。
只挪走一半#那边放点心,2,哪,“只挪”二字走掉一半，余下“哪”字。#“点”字的中心为“口”，放在“那”字的一边，可成“哪”字。
秋前穿越横山,6,秉,“秋前”扣“禾”，“横山”扣“彐”，“禾”穿越“彐”得“秉”字。
不要多插手,6,抄,“不要多”以反扣法扣“少”，“少”字插上“手”，便是“抄”字。
江边明月入画中,6,渭,“江”字的一边是“氵”，再得一明“月”，“画”字的中间是“田”，“水月田”即组成“渭”字。
和尚的手势,3,掌,和“尚”结合的势必是“手”，组合是掌。
一来就是三口人#大口套小口，一人顶半口,3,圆,“圆”字来“一”字，再拆分便是“口口口人”。#“大口套小口”即“回”字，“一人顶半口”即“贝”字。
到了三十放一月,6,葫,“三十”可理解为“艹十”，“方”别解为“方格（口）”，和一“月”组合起来，便是“葫”字。
两点前来表决心,2,快,“两点”前来与“快”相见，就组成“决心”二字。
四双手,6,扒,“扒”字可拆解成“八手”。
二人为股东,4,役,“二人”即“彳”，“股”字的东边为“殳”。
上元景色入画中#一日黄花#竭泽而渔终有日#一半在海河，一半在天空,3,鲁,“元景色”三字的上半部分别为“一曰⺈”，与“画”中的“田”组合，可为“鲁”字。#有一种鱼，叫黄花鱼，所以谜面“黄花”，别指“鱼”。“鱼”与一“日”组合，即为“鲁”字。#“渔”的“水”被抽干了，剩下“鱼”，有“日”之后就成为“鲁”字。#“鲁”一半是“鱼”，一半是“日”。
今天还说要点心#明星胜出有后台#三日当中，只有一日有空#作品一一调整,4,唱,“天”扣“日”，“说”扣“曰”，“点”字中心为“口”，三者合而得“唱”。#“明星”二字的“胜”离去，余下“昌”；“台”字的后半部分为“口”。#三日（日日日）之中有一“日”是空的。#“品”字加上“一一”再调整一下。
无头案#人一来体现#砍伐森林#桌椅箱柜样样有#立即成亲#课桌椅样样齐备#9+9,2,木,“案”字没了头，剩下“木”字。#“人一”来与“木”组合，就现出“体”字。#“森”字的“林”被砍伐掉了，余下“木”字。#“桌椅箱柜样样”六字均有“木”字。#“立”在“木”上，马上成为“亲”字。#“课、桌、椅、样、样”五个字都有“木”字。#“木”字由“十”、“八”组成。
漓江之水天下绝,5,璃,“漓江”的“水”和“天”字的下面“绝”了，不存在了，便剩下“离工一”。
换位作陪,1,部,“部”字的偏旁部首换个位置，便可构成“陪”字。
一直不用靠旁边,5,膀,“用”字去掉“一直”成为“月”字，“月”靠在“旁”的边上。
半载春秋琴音中#春阴秋不暖#三人相遇逢秋雨#春夜上香听琴声#春香去后琴声在#看文字，一是春秋，论年代，一半在春秋#春天没太阳，禾苗依然长#秋一半，春一半#二画大，二画小,4,秦,“春秋”二字各取一半，可重组为“秦”字。“琴”与“秦”的读音相同。#“春”没了太阳（日），就是阴天；“秋”没了“火”，就不暖。#“秋雨”二字可拆分为“禾火雨”，“雨”能把“火”给消灭掉，余下“禾”；“禾”再与“三人”组合，可成为“秦”字。#“春夜”暗示“春”字的“日”没了，余“三人”；“香”字的上半部分为“禾”；合为“秦”字，“秦”与“琴”同声。#“春香”二字的后半部分去掉，余下的可结合为“秦”字，“秦”与“琴”同音。#看文字，“秦”字是“春秋”的一半；“秦”又是春秋时期的诸侯国。#“春”天没太阳（日），即“?”；“?”下面长着“禾”苗。#谜底除了“秦”还可以是“香”、“炅”。#“大”字加两笔，“小字”加两笔。
二山紧相连，猜出不着边#用心画下来#天下无人出其上#二山在一起，猜出便错了#二山在一道，猜出便错了,2,击,“二山”连在一起，构成“击”字；“猜出不着边”否定谜底为“出”字。#“用”字中心和“画”字下半部分，合起来就是“击”字。#“天”字下面没人，为“工”字；“出”字的上半部分为“山”。#“二”加“山”。#哪哪哪谜题上说“出”是错的了！
一字多两点,1,学,“字”多“两点”。
少夫人去堂后,5,坛,“夫”字少了“人”为“二”，“去堂”二字的后半部分为“厶土”。
偏听偏信,9,唁,“听”、“信”二字各取其一半，合为“唁”字。
登上天门闻雀声,9,阕,“登”字上半部分取“癶”，与“天门”可组成“阕”字；“阕”与“雀”同音。
夺去一半，还剩一半#日落之时还不走,1,过,“夺”字去掉一半，余下“寸”；“还”字剩下一半，取“辶”。#“时”字落下“日”，剩下“寸”；“还”字的“不”走了，剩下“辶”。
宋字不戴帽，不能猜作木#横了心，不出头#杯子不要丢,2,李,“宋字”二字不戴“帽”，余下“木子”。#“横了心”指“一”横在“了”中心，即“子”；“不出头”指“不”字出了头，即“木”字。#“杯子”的“不”要丢掉。
阵前脱逃#年已古稀#夺冠军#连中三元,2,车,“阵”字的前半部分逃脱了，余下“车”字。#“古稀”之年指七十岁，“七十”二字组合，形似“车”字。#“冠”指居于首位，“夺冠军”指夺了“军”字的头首。#“元”意为开始的、第“一”，“三元”即三个一，“连中”即三个一连起来，即“车”字，也有说是“丰”字。
晚去一天#一天到晚#兔子差点不见了,2,免,“晚”字去掉一天（日），余下“免”。#一天（日）到了“免”这里就成为“晚”字。#“点”不见了。
撕掉两边，剩下中间，还有多少，共有二焉#一共添两横,1,其,“撕”字掉去两边，余下“其”。“共”字有“二”，，同为“其”字。#“共”添两横！
泳装错位不大美,6,漾,“不大美”别指“美”字不要“大”，余下“丷王”，与错位的“泳”字组合后，可成为“漾”字。
减肥之后人显高,7,胭,“肥”字减去后面，余下“月”；“显”字的高处是“日”，与“人”组合成“因”；合为“胭”字。
不要杂木#仇人已除#旭日升空,2,九,不要“杂”字的“木”，余下“九”字。#“仇”字除去“人”，余下“九”。#“旭”字的“日”升空飞走了，剩下“九”。
一直在人间#一直甘居人下#告别旧日恋人#势如破竹,1,个,“一直”在“人”字的中间，即为“个”字。#“一直”，形扣“丨”，居在“人”下，即“个”字。#“旧”告别去“日”，余下“丨”，恋上“人”之后就成“个”字。#“个”，像破烂的“竹”字一样。
摘取一半，清除一半#浇西边，摘东边,5,滴,“摘”字取走一半，“清”字除去一半，余下的合为“滴”。#“浇”字的西边与“摘”字的东边组合，可为“滴”字。
一去就掌兵权#元首挂帅#一去就当元帅,2,师,“师”字去掉“一”，就是“帅”字。#“元首”意为第“一”，挂“帅”。#“帅”添一行便是。
一直到黄昏,4,殖,“黄昏”义同“夕”。
后空翻入水,6,潘,“后空翻”指“翻”字的后面空了没了，剩下“番”；“番”入“水”即构成“潘”字。
要一直，反而曲#倒数第一,1,由,“由”要一直（竖）反而变成“曲”字。#“由”字倒过来就是“甲”字，“甲”是序数第一。
出名后十分小心#有人为例,2,列,“名”字的后半部分除去，剩下“口”；再将“十”字拆分掉；“小”字中心为“亅”；合为“列”字。#“列”字有“人”就是“例”。
争取两点前联合,4,净,“争”字取“两点（冫）”前来汇合。
三口巧安排，莫当品字猜,7,亘,“三口”巧安排，排成“亘”字。
有个字真特别，谁看都是一万撇,4,厉,“厉”字由“一、万”和“丿”组成。
选修妇科,6,倭,“修妇科”三字各选出一部分，构成“倭”字。
用心出尽犹出错,6,冈,“用”字的中心去除尽，剩下“冂”；还是出了差错（乂）。
肋无力，饥无食,5,肌,“肋”字无“力”即“月”字；“饥”无“食”即“几”字。
古灯火已灭,3,登,古时“灯”字写作“燈”，“燈”字的“火”灭了，余下“登”。
猴年旧貌换新颜#大婶不安一人走#一字有五笔，只有横和直，去头是个字，去尾是个字，去头也去尾，仍然是个字#三横又三竖，你若猜不中，猴子告诉你,3,申,猴是中国十二生肖排行第九的动物，对应地支为“申”；“旧”字换新颜，也是“申”；谜面再次扣合谜底。#“大婶”二字的“安、一、人”走了，剩下“申”。#“申”去头是“甲”字，去尾是“由”字，去头也去尾是“田”字。#“申”是地支的第九位，属猴。
黄昏无酒辞上客#雾中西湖如少女,3,洛,“黄昏”别解作“酉”时；“酒”无“酉”后，剩下“氵”。“客”字辞了上半部分，余下“各”。#“雾”字中间为“夂”，“湖”字西边为“氵”，“如”字少“女”即“口”字。
溪畔叶乱月相映#清明前后来分田,3,湖,“溪”字的一畔，取“氵”；“叶”字的结构打乱后重新组合，成“古”字；加上“月”，成为“湖”字。#“清明”二字的前后，分别是“氵”和“月”；“分田”别解为将“田”字分开，即“十口”。
半册多点#六根清静无用心,4,丹,“册”字的一半添一“点”，即“丹”字。#“六”字的根部清除掉，剩下“亠”；“用”字的中心没了，余下“冂”。
用心来调理,1,样,“用”字的中心是“一十”，与“来”字离合调理，可成为“样”字。
横三竖四，蜿蜒不直#有一日得见孟德#一个字，两个手，浑身是口，歌不离口,3,曲,“三横”加上“四竖”可组成“曲”字。蜿蜒不直，提示“曲”的字义。#“曲”字有“一日”，即成为“曹”字。“孟德”，即曹操的字。#“曲”意为“歌”。
石头成堆,6,磊,三五成群，“磊”以三“石”强调坚硬，坦荡，棱角分明于天地间不隐藏、不闪躲，一目了然。
心无一点变化,4,忧,“心”同“忄”；“无一点变化”别解为“无”字最上方的“一”变化为“点”，得出“尤”。
一往无前#一人留下，两人便走#谁知无人发一言,1,主,“往”字无前半部分，余下“主”字。#“主”字；与一“人”组合，即为“住”字；与“两人”组合，即为“往”字。#“谁”字没“人”，再把“一言”发放出去，只剩下“主”了。
俺们两人不在,7,阉,“俺、们”二字的单“人”旁去掉，组成“阉”。
微风轻吹雨声响#复习#来点刁，还要更刁点,5,羽,“羽”可拆分成“习习”二字，“习习”是形容风轻轻地吹的样子。“羽”与“雨”的读音相同。#“复”，别指“重复”。#“点刁”加上“刁点”便是“羽”字。
不见旧日人相会#二人约会在西堤#多一撇，难寻找#加一笔找不到，少一笔天上飘#丢掉一撇,1,去,“旧”字的“日”不见了，余下“丨”；“云”与“人”相聚，成“会”字。#“二人”约上“厶”即“会”字，“堤”字的西半部分为“土”。#“去”字多一“撇”便是“丢”字。#“去”字加一笔即“丢”，少一笔即“云”。#“丢”遗落了一撇。
患得患失忠心变,6,忡,“患得”与“患失”相互抵消；“忠”字的“心”变了，变成“忄”。
劳力不足，双方支援#双方合作出劳力,2,营,“劳”字的“力”不足，即“艹冖”；“双方”别解为两个方格（口口）。#“双方”别解为两个方格（吕），“劳”字出去“力”余下“艹冖”。
生日端水酒,3,醒,“生日”二字合为“星”；“端水酒”别解为“酒”字端去“水”，余下“酉”。
会说话的眼睛#既能说又能看,4,冒,“曰”意为说，“目”即眼睛。#“说”即“曰”，“看”即“目”。
船尾不见老汉在,4,艘,“船”字的尾部不见了，只见“舟”；“叟”的字义扣“老汉”。
二十四桥一女郎,10,甍,“二十”解为“艹”，“桥”可联想为“冖”，古时称生女孩为“弄瓦之喜”，合起来就是“甍”。
潜,10,汆,“潜”解为“潜水”、“入水”，即“汆”。
天寒地冻君何为#天冷你咋办,9,袈,“袈”字可拆解为“加衣”。#谜底可拆解为“加衣”，本谜以“问答法”来进行扣合。
残花一片，犹有余香,5,旨,“花”字残了剩下“匕”，“香”字余下“日”。
一点不见,2,视,“一点”、“不”、“见”组成“视”字。
没有一点良心,6,恳,“良心”二字没有“一点”后，可组成“恳”字。
提高声音#始乱终弃声声诉,3,升,谜面“提高”暗示“升”的字义，“升”与“声”读音相同。#“乱”字的头（始）笔是“丿”，“弃”字的末（终）端是“廾”，合为“升”字；“升”与“声”读音相同。
眨眼不见少一撇,1,之,“眨”字的眼睛（目）不见了，还少了一撇（丿）。
沾土结垢,1,后,“后”沾上“土”就是“垢”字。
有一点机会#楼头几度寄芳心#抓住一点机遇,6,杭,有“一”、“点”与“机”会合，成为“杭”字。#“楼”字的前头为“木”，“芳”字的中心为“亠”。#抓住“一点（一丶）”再遇到“机”，便是“杭”字。
该女正在争取中,3,妻,“正”别解为正号（+）；“争取中”别解为取“争”字的中间，即“彐”；“女、+、彐”构成“妻”字。
夺头功又是半边天,3,努,夺去“功”字的前头，剩下“力”；“半边天”意指“女”性。
两只小耳朵,2,际,“际”字可拆解为“二小阝”。
分辨无言有瓜葛,6,瓣,把“辨”拆分开，后去掉“言”，再添上“瓜”，即为“瓣”字。
大干变了样#老王寄人之下#大王头上有一人,1,全,“大干”二字的笔划结构变了样，成为“全”字。#老王的“王”寄存于“人”字的下面。#“人”在“王”头上。
集中一点#差一点猜中,4,虫,把“中”、“一点”集合起来，就成为“虫”字。#“虫”字除掉“一点”就是“中”字。
折扣之后两手空,1,听,“折扣”二字的“手”没了，余下“斤口”，合为“听”字。
晕头转向,6,晖,“晕”字的头部“日”转了个方向、方位，成“晖”字。
眼前一黑头发晕,6,眩,“眼”别解为“目”，“玄”泛指黑色。
中国一绝,9,帼,谜面别解为“中国”二字的“一”绝迹了，余下“巾国”。
一江清水乘风去,6,玑,“一江”清除“水”得到“王”字；“乘”别解为符号“X”，“风”去掉“乘（X）”得到“几”。
曾记来人是和尚#曾有雄心在,6,僧,“曾”与“人”组合，成“僧”。“和尚”提示“僧”的字义。#“雄”字的中心，是“人”，与“曾”组合为“僧”字。
言而无诈终放心#昨日离去心牵挂#昨夜船儿浪里行#心头欲炸不发火,2,怎,“诈”字无“言”，剩下“乍”，放“心”后即为“怎”字。#“昨”字的“日”离去了，余下“乍”，“乍”牵挂着“心”，便是“怎”字。#“昨夜”暗示“昨”字无“日”，即“乍”；“船儿浪里行”以象形法扣“心”。#“炸不发火”指“炸”不“火”成“乍”字，“乍”在“心”头上。
来日生子称李旺,6,枉,“枉”字来“日”，生“子”后，可称“李旺”二字。
一侧挂羊头，一侧挂狗肉#大将东去一点回,2,状,“狗”字义扣“犬”；“状”字由“羊”的头部和“犬”组合而成。#“将东去”指“将”字的东边（夕寸）去掉，剩下“丬”；“大”加上“一点”即“犬”字。
东坡西行,4,彼,“坡”字的东边为“皮”，“行”字的西边为“彳”。
双方见面就是哭,6,犬,“犬”与“双方（方格）”见面，组成“哭”字。
广西民族服饰,2,装,“广西民族”扣“壮”，“服”扣“衣”，“饰”为装饰之义。
不顾白头要进取#春节三人聚首,1,最,“白”字的头部不要了，剩下“日”，要与“取”组成“最”字。#“春”字节省掉“三人”，剩下“日”；“聚”字的首部为“取”。
本日大调整#日本变迁#一去无音讯#一去无踪影#变相搜索,2,查,“本日”二字的笔画结构大调整后，可成为“查”字。#“日本”二字的笔划变迁重组后，成“查”字。#“查”字去掉“一”，余下“杳”。“杳”，字义为消失，不见踪影。#“查”字去掉“一”，即为“杳”字。“杳”，字义为“无影无声”。#“相”字变异后可成为“查”字，“搜索”暗示“查”之义。
两人同在土山上，一个左来一个右#两人土上谈心,2,坐,“人”、“人”在“土”山上。#两个“人”坐在“土”上。
厂内养狗讨人嫌,5,厌,“狗”与“犬”同义，“厂”内养“犬”即“厌”字；“厌”提示“讨人嫌”之意。
一到山西就下雨,5,湿,“显”字的“一”到了，就是“晋”，“晋”是山西的简称；“雨”即“水”。
草堆下面两只狗#左边一条狗，右边一条狗，藏在草下不露头,2,获,“犭”义通“犬”。#“狗尾巴草”的原型！
惟有这点点滴滴,6,憔,“惟”加了四个点。
七七鹊桥接两岸#大于、小于、等于,3,互,“互”字中间好似两个“7”组成，上下两边（二）象形两岸。#“>”、“<”、“=”组成“互”。
说声散，来人去一半,6,伞,“散”与“伞”的发音相同。“半”字去“一”与“人”组合，成为“伞”字。
水流成瀑#点火引爆,3,暴,“暴”与“水”组合，可成“瀑”字。#“暴”字引“火”即“爆”。
一人一口一条心#有心结合#一人一心一张口,4,恰,“人”与“口”、“心”组合，可为“恰”字。#“恰”字由“心”与“合”连结而成。#“人”、“心”、“一”、“口”。
人来便成#有人扶便得#一丈方圆#一一入史册,1,更,“人”来与“更”字组合，可成“便”字。#“更”字有“人”在旁扶着，即得“便”字。#“方”别指“方格”，象形为“口”，与“一丈”组合，可成为“更”字。“圆”，作完整、周全之义。#“一”加“一”加“史”。
千里明月下西楼,10,骒,“千里”解为千里马，“明月下”即“日”字，“西楼”左西右东，为“木”字，“日下木”即“果”字，合起来就是“骒”。
多上去定能当爹#老爸的意思是小心没有错#小心无大错#小心别犯错#一点来成交#要写只有四笔，又无横来又无竖；将军见他要下马，皇帝见他要作揖#一字四笔斜，无横，无竖，无一湾沟#一字有四笔，没横也没竖，妈妈猜不着，爸爸笑嘻嘻,2,父,“多”与“父”组合，可成“爹”字。#“小心没”别解为“小”字的中心没了，剩下“八”；“八”有“错”就是“父”字，“父”是老爸的意思。#“小”字的中心没了，剩下“八”；“八”与“大错”可组成“父”字。#“小”字别了其中心（亅），余下“八”字；“错”别解为符号“乂”。#“父”字有“一丶”就成“交”字。#在甲骨文中，“父”是一个人手里拿着一柄石斧，其最初意义便是“斧”，这个意义后来写作“斧”，“父”字不再有此义。#“父”字四笔都斜，没横、没竖、湾沟也没有。#嘻嘻！
干杯不要走开,6,杆,“干杯”二字的“不”要走开了，便剩下“干木”。
